Index,age,income,student,credit_rating,class
1,senior,low,yes,excellent,yes
2,youth,low,yes,fair,yes
3,senior,medium,yes,fair,yes
4,youth,low,yes,fair,yes
5,senior,high,no,fair,no
6,senior,medium,yes,fair,no
7,middle_age,medium,yes,fair,no
8,youth,low,no,fair,no
9,middle_age,high,no,fair,no
10,senior,low,no,fair,no
11,senior,high,no,fair,yes
12,youth,high,yes,excellent,yes
13,youth,low,yes,excellent,yes
14,middle_age,medium,no,fair,no
15,middle_age,low,no,fair,yes
16,senior,high,yes,fair,no
17,middle_age,medium,yes,excellent,yes
18,youth,low,no,excellent,no
19,youth,low,no,fair,no
20,middle_age,high,no,fair,no
21,youth,low,no,excellent,no
22,middle_age,low,yes,excellent,yes
23,youth,low,yes,fair,yes
24,senior,medium,yes,excellent,no
25,senior,medium,no,fair,yes
26,senior,high,no,excellent,no
27,youth,medium,no,fair,no
28,youth,high,no,fair,yes
29,senior,medium,yes,fair,no
30,youth,high,yes,excellent,yes
31,middle_age,low,yes,excellent,no
32,youth,low,yes,fair,yes
33,youth,high,no,fair,yes
34,youth,high,no,fair,no
35,senior,high,no,fair,yes
36,senior,medium,no,excellent,no
37,senior,medium,yes,fair,yes
38,youth,medium,yes,fair,yes
39,senior,low,yes,fair,yes
40,youth,low,yes,excellent,yes
41,youth,high,yes,excellent,yes
42,senior,medium,yes,fair,no
43,youth,medium,no,fair,yes
44,youth,high,no,excellent,no
45,middle_age,medium,no,fair,yes
46,youth,medium,no,fair,yes
47,youth,low,no,fair,no
48,youth,medium,no,fair,yes
49,middle_age,high,yes,fair,yes
50,youth,low,yes,excellent,yes
51,middle_age,medium,yes,excellent,yes
52,youth,medium,yes,excellent,yes
53,middle_age,medium,no,excellent,no
54,youth,low,no,fair,yes
55,senior,high,yes,excellent,no
56,youth,low,no,fair,yes
57,senior,low,yes,fair,yes
58,senior,low,no,fair,yes
59,senior,high,yes,fair,no
60,senior,high,no,excellent,no
61,youth,high,no,fair,no
62,middle_age,low,no,excellent,no
63,youth,low,no,fair,yes
64,senior,low,no,fair,no
65,youth,low,no,excellent,yes
66,middle_age,high,no,fair,no
67,senior,low,yes,excellent,yes
68,youth,high,yes,excellent,yes
69,middle_age,high,yes,excellent,no
70,youth,high,no,excellent,no
71,middle_age,low,yes,excellent,no
72,youth,low,no,fair,no
73,youth,high,no,excellent,no
74,senior,low,yes,fair,yes
75,senior,low,no,fair,no
76,youth,low,no,excellent,yes
77,middle_age,low,yes,fair,no
78,senior,medium,yes,fair,yes
79,youth,medium,yes,fair,yes
80,senior,medium,no,fair,no
81,youth,high,yes,excellent,yes
82,youth,medium,yes,fair,yes
83,middle_age,medium,no,fair,yes
84,youth,high,yes,excellent,yes
85,middle_age,medium,yes,excellent,no
86,senior,high,no,excellent,no
87,youth,low,no,fair,no
88,youth,low,no,excellent,no
89,middle_age,high,yes,excellent,no
90,senior,low,no,fair,no
91,youth,high,yes,excellent,yes
92,middle_age,low,no,excellent,yes
93,senior,medium,no,excellent,no
94,middle_age,high,no,fair,yes
95,middle_age,high,no,fair,no
96,middle_age,high,yes,excellent,no
97,middle_age,low,no,excellent,no
98,middle_age,medium,yes,excellent,yes
99,senior,low,no,excellent,yes
100,youth,high,no,fair,yes
101,youth,low,yes,fair,yes
102,middle_age,high,yes,excellent,no
103,middle_age,high,yes,excellent,no
104,middle_age,medium,yes,fair,yes
105,youth,medium,yes,fair,yes
106,senior,high,no,fair,yes
107,youth,medium,yes,excellent,yes
108,senior,high,no,excellent,no
109,senior,high,no,excellent,no
110,youth,high,no,excellent,no
111,middle_age,low,no,excellent,yes
112,middle_age,medium,yes,excellent,yes
113,middle_age,medium,no,fair,yes
114,youth,low,no,fair,yes
115,youth,medium,no,excellent,no
116,middle_age,low,yes,excellent,no
117,senior,high,yes,excellent,no
118,middle_age,low,no,excellent,no
119,middle_age,high,yes,excellent,no
120,youth,medium,no,excellent,yes
121,middle_age,medium,no,fair,no
122,youth,high,yes,excellent,yes
123,senior,high,yes,fair,no
124,youth,medium,yes,fair,yes
125,middle_age,medium,no,fair,no
126,middle_age,medium,no,excellent,no
127,middle_age,low,no,fair,yes
128,middle_age,low,yes,fair,yes
129,youth,low,yes,fair,yes
130,youth,low,no,fair,yes
131,middle_age,high,no,excellent,no
132,youth,high,yes,fair,yes
133,middle_age,low,yes,excellent,no
134,middle_age,high,yes,fair,yes
135,youth,high,no,fair,yes
136,middle_age,high,no,excellent,no
137,youth,high,no,fair,no
138,middle_age,low,no,excellent,no
139,senior,low,no,fair,no
140,senior,high,no,excellent,no
141,middle_age,high,no,excellent,no
142,youth,low,no,excellent,yes
143,middle_age,high,no,excellent,no
144,youth,medium,no,fair,no
145,youth,medium,no,excellent,no
146,senior,high,no,fair,yes
147,youth,low,no,excellent,yes
148,senior,medium,no,excellent,yes
149,youth,medium,yes,excellent,yes
150,senior,low,no,excellent,no
151,senior,high,no,excellent,no
152,senior,high,no,excellent,no
153,senior,medium,no,excellent,no
154,youth,low,yes,excellent,yes
155,youth,high,yes,fair,yes
156,youth,high,no,excellent,no
157,senior,high,no,fair,yes
158,middle_age,low,no,fair,no
159,youth,high,yes,excellent,yes
160,youth,low,no,fair,no
161,youth,low,no,excellent,no
162,middle_age,medium,yes,fair,no
163,middle_age,low,yes,excellent,no
164,youth,high,yes,fair,yes
165,youth,high,no,fair,yes
166,youth,high,no,fair,no
167,middle_age,medium,no,excellent,no
168,senior,high,yes,fair,yes
169,senior,low,no,fair,yes
170,youth,low,yes,fair,yes
171,youth,medium,no,excellent,no
172,youth,low,no,excellent,no
173,youth,high,yes,excellent,yes
174,senior,high,yes,excellent,no
175,youth,high,yes,fair,yes
176,middle_age,low,yes,fair,yes
177,middle_age,high,no,excellent,no
178,youth,medium,no,excellent,no
179,senior,high,no,excellent,no
180,youth,high,yes,excellent,yes
181,senior,medium,no,fair,yes
182,youth,high,yes,excellent,yes
183,senior,low,yes,excellent,no
184,middle_age,low,no,excellent,yes
185,middle_age,medium,no,excellent,no
186,senior,low,yes,excellent,no
187,senior,medium,no,excellent,yes
188,middle_age,low,no,excellent,no
189,youth,medium,yes,excellent,yes
190,middle_age,low,yes,excellent,no
191,senior,medium,yes,fair,no
192,senior,low,no,excellent,no
193,youth,low,yes,fair,yes
194,middle_age,high,yes,excellent,no
195,youth,low,yes,excellent,yes
196,youth,high,yes,excellent,yes
197,senior,medium,no,excellent,no
198,middle_age,low,no,fair,no
199,youth,high,yes,fair,yes
200,middle_age,medium,no,excellent,yes
201,middle_age,high,no,excellent,no
202,youth,medium,no,excellent,no
203,senior,high,no,excellent,no
204,middle_age,low,yes,excellent,yes
205,middle_age,low,no,excellent,no
206,middle_age,high,yes,excellent,no
207,youth,low,no,fair,no
208,youth,high,no,fair,yes
209,middle_age,high,yes,fair,no
210,middle_age,medium,no,fair,no
211,senior,high,no,excellent,no
212,senior,high,no,fair,yes
213,youth,high,no,fair,yes
214,middle_age,low,yes,excellent,yes
215,senior,medium,yes,fair,no
216,youth,medium,no,excellent,no
217,youth,low,no,fair,yes
218,youth,low,no,fair,no
219,senior,low,yes,excellent,no
220,middle_age,medium,yes,excellent,no
221,senior,high,yes,fair,no
222,middle_age,high,no,excellent,no
223,senior,medium,no,excellent,yes
224,middle_age,medium,yes,fair,no
225,senior,medium,no,excellent,yes
226,senior,medium,no,fair,yes
227,senior,high,no,excellent,no
228,youth,high,no,fair,yes
229,senior,medium,yes,fair,yes
230,middle_age,medium,yes,excellent,yes
231,youth,medium,no,excellent,yes
232,youth,low,no,excellent,yes
233,middle_age,medium,no,excellent,yes
234,middle_age,low,yes,fair,no
235,senior,medium,yes,excellent,yes
236,middle_age,high,yes,excellent,no
237,middle_age,high,no,excellent,no
238,senior,medium,yes,fair,no
239,youth,high,no,fair,yes
240,senior,medium,no,excellent,yes
241,youth,low,yes,excellent,yes
242,middle_age,low,yes,fair,yes
243,middle_age,medium,no,excellent,yes
244,middle_age,high,yes,excellent,no
245,senior,medium,no,fair,no
246,youth,medium,no,fair,no
247,youth,high,no,excellent,no
248,youth,medium,no,fair,yes
249,middle_age,low,yes,fair,yes
250,middle_age,low,yes,fair,yes
251,senior,low,yes,fair,no
252,youth,high,yes,excellent,yes
253,youth,low,no,fair,yes
254,senior,low,yes,fair,no
255,youth,high,no,fair,yes
256,middle_age,low,yes,excellent,yes
257,senior,low,no,excellent,no
258,senior,high,yes,excellent,no
259,senior,low,yes,excellent,no
260,senior,low,yes,excellent,no
261,middle_age,high,yes,excellent,no
262,senior,medium,yes,fair,no
263,senior,low,yes,fair,no
264,senior,high,no,excellent,no
265,senior,high,no,excellent,no
266,senior,high,no,fair,yes
267,senior,high,yes,excellent,no
268,middle_age,low,no,excellent,no
269,middle_age,medium,yes,excellent,no
270,middle_age,high,no,excellent,no
271,youth,high,no,fair,yes
272,youth,low,no,fair,no
273,youth,high,yes,excellent,yes
274,senior,low,no,excellent,no
275,senior,low,no,excellent,no
276,youth,high,yes,fair,yes
277,senior,medium,yes,fair,no
278,senior,medium,yes,excellent,yes
279,middle_age,high,yes,excellent,no
280,youth,low,no,excellent,no
281,middle_age,low,yes,fair,no
282,youth,low,yes,fair,yes
283,senior,high,yes,excellent,no
284,middle_age,medium,no,fair,no
285,middle_age,high,no,fair,yes
286,youth,low,yes,fair,yes
287,middle_age,medium,no,excellent,no
288,middle_age,medium,yes,fair,no
289,middle_age,low,no,excellent,no
290,youth,low,no,fair,yes
291,youth,medium,yes,fair,yes
292,middle_age,medium,no,fair,yes
293,middle_age,high,no,fair,yes
294,middle_age,high,yes,excellent,no
295,youth,medium,yes,excellent,yes
296,youth,medium,yes,excellent,yes
297,senior,medium,no,excellent,no
298,youth,medium,yes,excellent,yes
299,youth,high,no,excellent,no
300,youth,medium,yes,fair,yes
301,middle_age,high,no,fair,no
302,middle_age,high,no,fair,no
303,youth,low,yes,fair,yes
304,middle_age,medium,yes,fair,yes
305,youth,medium,yes,fair,yes
306,senior,low,yes,fair,no
307,middle_age,high,no,excellent,no
308,senior,medium,yes,excellent,yes
309,middle_age,medium,no,excellent,yes
310,middle_age,high,yes,excellent,no
311,middle_age,medium,yes,fair,no
312,middle_age,low,yes,excellent,no
313,senior,high,yes,excellent,no
314,senior,high,yes,excellent,no
315,senior,medium,yes,fair,no
316,youth,medium,yes,fair,yes
317,youth,low,no,excellent,yes
318,middle_age,medium,no,excellent,no
319,middle_age,high,yes,excellent,no
320,youth,medium,yes,excellent,yes
321,middle_age,medium,yes,excellent,yes
322,senior,high,yes,excellent,no
323,middle_age,high,no,fair,yes
324,middle_age,high,no,excellent,no
325,youth,high,yes,excellent,yes
326,senior,medium,yes,excellent,no
327,youth,low,no,excellent,yes
328,youth,low,yes,fair,yes
329,middle_age,low,yes,excellent,yes
330,senior,medium,yes,fair,yes
331,senior,high,yes,excellent,no
332,youth,medium,no,fair,no
333,senior,medium,no,fair,yes
334,middle_age,medium,yes,excellent,no
335,middle_age,medium,no,excellent,yes
336,youth,high,yes,excellent,yes
337,youth,high,no,excellent,no
338,senior,low,yes,excellent,yes
339,youth,medium,no,fair,no
340,youth,low,no,excellent,yes
341,middle_age,low,no,excellent,yes
342,middle_age,low,no,fair,yes
343,middle_age,low,no,fair,yes
344,youth,medium,no,fair,no
345,middle_age,high,yes,fair,yes
346,middle_age,low,yes,excellent,yes
347,middle_age,low,no,fair,yes
348,youth,medium,no,fair,yes
349,middle_age,high,yes,fair,yes
350,middle_age,medium,yes,excellent,yes
351,senior,medium,yes,fair,no
352,youth,high,yes,excellent,yes
353,middle_age,low,no,excellent,no
354,senior,low,no,fair,no
355,youth,high,yes,excellent,yes
356,youth,low,no,excellent,yes
357,senior,medium,no,fair,yes
358,youth,high,no,fair,no
359,youth,low,yes,fair,yes
360,middle_age,medium,no,excellent,no
361,youth,high,yes,excellent,yes
362,middle_age,low,no,excellent,yes
363,middle_age,medium,no,excellent,no
364,middle_age,low,no,excellent,no
365,senior,medium,yes,excellent,yes
366,middle_age,high,yes,excellent,no
367,middle_age,low,yes,excellent,no
368,middle_age,medium,no,fair,no
369,middle_age,medium,yes,excellent,no
370,middle_age,high,yes,fair,no
371,middle_age,high,yes,fair,yes
372,senior,high,no,fair,yes
373,youth,low,no,excellent,no
374,senior,low,yes,excellent,no
375,middle_age,medium,yes,fair,no
376,middle_age,medium,no,fair,yes
377,youth,high,yes,excellent,yes
378,senior,medium,yes,excellent,no
379,senior,medium,yes,excellent,no
380,youth,low,yes,fair,yes
381,middle_age,low,no,fair,no
382,senior,medium,yes,excellent,no
383,youth,high,yes,excellent,yes
384,senior,low,yes,fair,yes
385,youth,medium,yes,excellent,yes
386,senior,high,no,excellent,no
387,senior,low,yes,fair,no
388,middle_age,high,no,excellent,no
389,middle_age,high,yes,fair,no
390,senior,low,no,excellent,no
391,youth,high,yes,fair,yes
392,middle_age,high,yes,fair,yes
393,middle_age,low,yes,excellent,yes
394,middle_age,high,no,fair,no
395,youth,high,no,fair,no
396,senior,high,yes,fair,yes
397,youth,high,no,fair,yes
398,youth,low,no,fair,no
399,senior,high,yes,excellent,no
400,senior,high,no,excellent,no
401,middle_age,low,no,excellent,no
402,youth,high,yes,fair,yes
403,middle_age,medium,no,excellent,yes
404,middle_age,high,yes,excellent,no
405,senior,medium,no,excellent,yes
406,middle_age,high,yes,excellent,no
407,youth,medium,yes,excellent,yes
408,middle_age,low,yes,fair,yes
409,middle_age,medium,no,fair,yes
410,middle_age,high,no,fair,yes
411,middle_age,high,no,excellent,no
412,middle_age,medium,yes,fair,no
413,senior,medium,yes,fair,no
414,youth,low,no,excellent,no
415,middle_age,high,yes,fair,no
416,youth,medium,no,excellent,no
417,youth,medium,yes,fair,yes
418,middle_age,high,no,fair,no
419,senior,medium,no,fair,yes
420,youth,medium,no,excellent,no
421,youth,low,no,fair,yes
422,youth,low,no,excellent,no
423,youth,high,yes,excellent,yes
424,senior,medium,yes,excellent,no
425,senior,medium,no,excellent,no
426,youth,medium,no,fair,no
427,senior,medium,yes,excellent,no
428,senior,high,yes,fair,no
429,youth,high,no,fair,yes
430,youth,high,yes,fair,yes
431,youth,medium,no,excellent,yes
432,middle_age,high,yes,excellent,no
433,senior,high,no,fair,yes
434,senior,low,no,excellent,no
435,middle_age,low,no,excellent,no
436,senior,high,no,excellent,no
437,youth,low,no,excellent,yes
438,middle_age,medium,yes,excellent,no
439,middle_age,medium,no,excellent,yes
440,senior,high,no,excellent,no
441,middle_age,low,no,fair,no
442,senior,low,no,excellent,no
443,senior,medium,yes,fair,no
444,senior,high,no,fair,yes
445,senior,high,yes,fair,yes
446,senior,high,yes,fair,yes
447,youth,medium,no,excellent,yes
448,senior,low,yes,fair,no
449,senior,medium,no,fair,no
450,middle_age,medium,yes,fair,yes
451,senior,high,yes,fair,no
452,youth,low,no,excellent,yes
453,senior,medium,yes,fair,no
454,senior,high,yes,excellent,no
455,middle_age,medium,no,fair,no
456,middle_age,low,yes,excellent,yes
457,senior,medium,no,fair,yes
458,senior,medium,no,fair,yes
459,senior,high,no,excellent,no
460,senior,medium,yes,excellent,yes
461,youth,low,no,excellent,yes
462,youth,medium,no,fair,no
463,middle_age,medium,no,fair,no
464,senior,medium,yes,fair,yes
465,middle_age,medium,yes,excellent,no
466,senior,low,no,excellent,yes
467,youth,low,no,fair,no
468,senior,high,no,excellent,no
469,senior,high,no,fair,yes
470,senior,high,yes,excellent,no
471,senior,high,no,fair,yes
472,youth,high,yes,fair,yes
473,youth,medium,no,fair,yes
474,senior,high,no,fair,no
475,youth,medium,yes,excellent,yes
476,middle_age,high,yes,excellent,no
477,senior,medium,yes,excellent,no
478,youth,high,yes,fair,yes
479,youth,medium,no,fair,yes
480,youth,medium,yes,excellent,yes
481,middle_age,low,yes,excellent,no
482,middle_age,medium,no,excellent,yes
483,senior,high,yes,excellent,no
484,youth,low,no,fair,yes
485,youth,low,no,excellent,no
486,senior,medium,yes,fair,no
487,middle_age,low,no,fair,yes
488,youth,high,no,fair,yes
489,youth,low,yes,fair,yes
490,middle_age,high,yes,fair,yes
491,middle_age,medium,yes,fair,yes
492,youth,high,no,fair,no
493,senior,high,no,fair,no
494,youth,high,yes,excellent,yes
495,middle_age,medium,yes,fair,no
496,senior,medium,yes,excellent,no
497,senior,medium,no,excellent,yes
498,middle_age,medium,yes,excellent,yes
499,youth,medium,yes,excellent,yes
500,youth,high,no,excellent,no
501,senior,high,yes,excellent,no
502,youth,medium,yes,excellent,yes
503,senior,low,no,excellent,yes
504,senior,high,yes,fair,no
505,middle_age,high,yes,fair,yes
506,senior,high,yes,excellent,no
507,youth,medium,no,fair,yes
508,youth,high,yes,excellent,yes
509,youth,high,yes,excellent,yes
510,youth,high,no,excellent,no
511,middle_age,medium,no,excellent,no
512,middle_age,high,no,excellent,no
513,youth,high,no,excellent,no
514,youth,medium,no,excellent,yes
515,senior,low,yes,fair,no
516,senior,high,no,excellent,no
517,youth,low,no,fair,no
518,senior,low,no,excellent,no
519,middle_age,high,no,excellent,no
520,youth,high,no,fair,yes
521,senior,high,no,fair,yes
522,senior,low,yes,fair,yes
523,middle_age,low,yes,fair,yes
524,youth,low,no,excellent,yes
525,senior,high,no,excellent,no
526,youth,low,no,fair,yes
527,senior,high,no,excellent,no
528,youth,high,no,fair,yes
529,youth,high,yes,fair,yes
530,youth,high,no,excellent,no
531,middle_age,medium,yes,excellent,no
532,middle_age,high,yes,fair,no
533,senior,low,yes,fair,no
534,middle_age,medium,no,fair,yes
535,senior,low,yes,excellent,no
536,senior,medium,yes,fair,yes
537,youth,high,no,excellent,no
538,youth,low,no,fair,yes
539,middle_age,low,yes,fair,no
540,youth,medium,yes,fair,yes
541,senior,medium,no,excellent,yes
542,senior,high,yes,excellent,no
543,youth,low,no,fair,yes
544,middle_age,high,no,excellent,no
545,youth,high,no,excellent,no
546,middle_age,low,no,excellent,no
547,youth,high,no,fair,no
548,youth,high,yes,fair,yes
549,middle_age,low,no,fair,no
550,middle_age,medium,yes,fair,yes
551,middle_age,medium,no,excellent,yes
552,youth,low,yes,excellent,yes
553,middle_age,high,no,fair,yes
554,youth,medium,yes,excellent,yes
555,middle_age,low,no,excellent,no
556,youth,high,yes,fair,yes
557,senior,medium,yes,fair,no
558,middle_age,medium,no,fair,yes
559,youth,medium,no,excellent,no
560,middle_age,low,no,excellent,yes
561,senior,high,no,fair,no
562,youth,low,no,fair,no
563,middle_age,high,no,excellent,no
564,middle_age,medium,no,fair,no
565,middle_age,high,yes,excellent,no
566,middle_age,low,no,excellent,no
567,senior,high,no,fair,no
568,middle_age,medium,no,excellent,yes
569,senior,low,yes,fair,no
570,senior,low,no,excellent,yes
571,middle_age,high,no,fair,no
572,youth,medium,yes,excellent,yes
573,middle_age,low,no,excellent,no
574,senior,high,no,fair,no
575,senior,high,yes,fair,yes
576,senior,high,no,fair,yes
577,senior,high,no,excellent,no
578,middle_age,low,yes,fair,no
579,youth,high,yes,excellent,yes
580,middle_age,medium,no,fair,no
581,youth,medium,yes,excellent,yes
582,middle_age,low,yes,fair,no
583,middle_age,medium,no,fair,no
584,middle_age,medium,yes,excellent,no
585,middle_age,low,no,fair,yes
586,youth,medium,yes,fair,yes
587,senior,low,yes,fair,no
588,senior,medium,no,fair,no
589,senior,low,yes,excellent,no
590,youth,high,yes,excellent,yes
591,senior,medium,no,fair,yes
592,youth,medium,yes,fair,yes
593,senior,low,no,excellent,yes
594,middle_age,low,no,excellent,no
595,senior,medium,no,fair,no
596,middle_age,medium,yes,excellent,yes
597,senior,low,no,fair,yes
598,middle_age,low,yes,excellent,yes
599,senior,medium,no,fair,no
600,middle_age,low,no,fair,yes
601,middle_age,medium,yes,fair,no
602,middle_age,high,yes,excellent,no
603,youth,medium,yes,fair,yes
604,middle_age,high,no,excellent,no
605,senior,medium,no,excellent,no
606,youth,low,yes,fair,yes
607,middle_age,low,no,fair,no
608,youth,medium,no,fair,yes
609,middle_age,high,no,fair,no
610,senior,low,no,fair,yes
611,middle_age,low,no,excellent,no
612,youth,medium,yes,fair,yes
613,youth,high,no,excellent,no
614,youth,high,yes,fair,yes
615,youth,low,no,excellent,yes
616,middle_age,high,no,excellent,no
617,senior,medium,yes,fair,no
618,youth,medium,yes,fair,yes
619,youth,low,no,fair,no
620,middle_age,low,no,excellent,no
621,middle_age,low,yes,excellent,no
622,senior,medium,no,excellent,no
623,senior,low,yes,excellent,no
624,youth,high,no,fair,no
625,youth,medium,no,excellent,no
626,middle_age,high,yes,excellent,no
627,middle_age,high,yes,fair,yes
628,senior,medium,yes,fair,yes
629,middle_age,medium,yes,excellent,yes
